id,slug,title,date,status,sticky,category,category_slug,link,md_file
2906,sicurezza-wordpress-2026,Sicurezza WordPress 2026: guida completa per proteggere il tuo sito e non perdere clienti,2025-12-08T10:25:39,publish,false,Generale,generale,https://easydigitalagency.it/sicurezza-wordpress-2026/,content/articles/census/sicurezza-wordpress-2026.md
2799,come-creare-contenuti-video-per-i-social-faidate,Come creare contenuti video per i social in modo professionale fai da te,2025-08-13T14:11:06,publish,false,Generale,generale,https://easydigitalagency.it/come-creare-contenuti-video-per-i-social-faidate/,content/articles/census/come-creare-contenuti-video-per-i-social-faidate.md
2626,come-fare-seo-da-soli-su-wordpress-con-ai,Come fare SEO da soli su WordPress con AI,2025-08-07T09:57:30,publish,false,Generale,generale,https://easydigitalagency.it/come-fare-seo-da-soli-su-wordpress-con-ai/,content/articles/census/come-fare-seo-da-soli-su-wordpress-con-ai.md
2608,seo-geo-aeo-guida-alla-visibilita-online-2025,SEO vs GEO vs AEO: guida ad una visibilità online forte 2025,2025-08-07T09:19:28,publish,false,Generale,generale,https://easydigitalagency.it/seo-geo-aeo-guida-alla-visibilita-online-2025/,content/articles/census/seo-geo-aeo-guida-alla-visibilita-online-2025.md
2562,come-implementare-facilmente-il-markup-localbusiness-in-json-ld-su-wordpress,Come implementare facilmente il markup LocalBusiness in JSON-LD su WordPress,2025-08-02T17:32:26,publish,false,Generale,generale,https://easydigitalagency.it/come-implementare-facilmente-il-markup-localbusiness-in-json-ld-su-wordpress/,content/articles/census/come-implementare-facilmente-il-markup-localbusiness-in-json-ld-su-wordpress.md
2554,10-passi-per-fare-una-local-seo-spettacolare,10 passi per fare una local seo spettacolare,2025-08-02T16:50:38,publish,false,Generale,generale,https://easydigitalagency.it/10-passi-per-fare-una-local-seo-spettacolare/,content/articles/census/10-passi-per-fare-una-local-seo-spettacolare.md
2021,accessibilita-siti-web-2025,Accessibilità siti web: cosa prevede la nuova normativa europea del 2025?,2025-05-26T11:23:34,publish,false,Generale,generale,https://easydigitalagency.it/accessibilita-siti-web-2025/,content/articles/census/accessibilita-siti-web-2025.md
1657,come-acquistare-un-dominio,Come acquistare un dominio e hosting,2025-03-25T15:06:06,publish,false,Generale,generale,https://easydigitalagency.it/come-acquistare-un-dominio/,content/articles/census/come-acquistare-un-dominio.md
1617,come-scegliere-il-nome-di-un-sito-web-guida-completa,Come scegliere il nome di un sito web: la migliore guida per il naming e il branding,2025-03-25T13:34:25,publish,false,Generale,generale,https://easydigitalagency.it/come-scegliere-il-nome-di-un-sito-web-guida-completa/,content/articles/census/come-scegliere-il-nome-di-un-sito-web-guida-completa.md
1537,sito-web-studio-legale-presenza-social-avvocato,Sito web studio legale presenza social avvocato,2025-03-18T22:40:41,publish,false,Generale,generale,https://easydigitalagency.it/sito-web-studio-legale-presenza-social-avvocato/,content/articles/census/sito-web-studio-legale-presenza-social-avvocato.md
1524,digital-agency-roma-crescere-online,Digital Agency roma cos’è: scopriamo subito di cosa si occupa,2025-03-18T21:52:30,publish,false,Generale,generale,https://easydigitalagency.it/digital-agency-roma-crescere-online/,content/articles/census/digital-agency-roma-crescere-online.md
1519,web-agency-cos-e,Web Agency cos’è: scopriamo subito di cosa si occupa,2025-03-18T21:37:13,publish,false,Generale,generale,https://easydigitalagency.it/web-agency-cos-e/,content/articles/census/web-agency-cos-e.md
1482,come-velocizzare-sito-wordpress-evitare-truffe,Come velocizzare sito WordPress e come scegliere bene,2025-03-17T18:42:46,publish,false,Generale,generale,https://easydigitalagency.it/come-velocizzare-sito-wordpress-evitare-truffe/,content/articles/census/come-velocizzare-sito-wordpress-evitare-truffe.md
1426,gdpr-privacy-cookie-e-social-media,GDPR privacy cookie social media,2025-03-17T15:59:57,publish,false,Generale,generale,https://easydigitalagency.it/gdpr-privacy-cookie-e-social-media/,content/articles/census/gdpr-privacy-cookie-e-social-media.md
1364,roma-web-agency-la-scelta-giusta-consigli,Roma Web Agency: La scelta giusta per il tuo successo digitale,2025-03-07T14:57:17,publish,false,Generale,generale,https://easydigitalagency.it/roma-web-agency-la-scelta-giusta-consigli/,content/articles/census/roma-web-agency-la-scelta-giusta-consigli.md
